"","Author","count"
"1","Enderlein",48
"2","Römmele",35
"3","Hurrelmann",34
"4","Ischinger",19
"5","Pisani-Ferry",19
"6","Hammerschmid",13
"7","Kemfert",11
"8","Dawson",10
"9","Mungiu-Pippidi",10
"10","Hallerberg",9
"11","Anheier",8
"12","Kayser",8
"13","Kreyenfeld",6
"14","Mair",6
"15","Traxler",3
"16","Schwander",2
"17","Wegrich",2
"18","Hassel",1
"19","Jachtenfuchs",1
"20","Joerges",1
"21","Wucherpfennig",1
"22","Munzert",1
"23","Bernoth",0
"24","Çali",0
"25","Cingolani",0
"26","Flachsland",0
"27","Graf",0
"28","Hirth",0
"29","Stockmann",0
